GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8	g9
ENSMUSG00000064023	Klk8	4,4,4,4,4	6,6,6,6,6	3,3,3,3,3	0.3,0.3,0.3,0.3,0.3	16,16,16,16,16	91,91,91,91,91	33,33,33,33,33	0,0,0,0,0	40,40,40,40,40
ENSMUSG00000064030	Pym1	36,36,36,36,36	10,10,10,10,10	23,23,23,23,23	18,18,18,18,18	32,32,32,32,32	39,39,39,39,39	119,119,119,119,119	33,33,33,33,33	231,231,231,231,231
ENSMUSG00000064032	Gm10143	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0.5,0.5,0.5,0.5,0.5	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000064036	Mro	14,14,14,14,14	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	0.2,0.2,0.2,0.2,0.2	19,19,19,19,19	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000064037	Gpn1	13,13,13,13,13	5,5,5,5,5	10,10,10,10,10	5,5,5,5,5	9,9,9,9,9	10,10,10,10,10	14,14,14,14,14	6,6,6,6,6	15,15,15,15,15
ENSMUSG00000064039	Ccr1l1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2
ENSMUSG00000064043	Trerf1	24,24,24,24,24	0.9,0.9,0.9,0.9,0.9	0.7,0.7,0.7,0.7,0.7	0.2,0.2,0.2,0.2,0.2	6,6,6,6,6	6,6,6,6,6	7,7,7,7,7	2,2,2,2,2	15,15,15,15,15
ENSMUSG00000064044	Olfr319	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064052	Gm5089	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064057	Scgb3a1	0.5,0.5,0.5,0.5,0.5	35,35,35,35,35	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	481,481,481,481,481	0.9,0.9,0.9,0.9,0.9	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	2,2,2,2,2
ENSMUSG00000064061	Dzip3	71,71,71,71,71	4,4,4,4,4	3,3,3,3,3	0.7,0.7,0.7,0.7,0.7	6,6,6,6,6	2,2,2,2,2	8,8,8,8,8	13,13,13,13,13	12,12,12,12,12
ENSMUSG00000064063	BC048507	0.5,0.5,0.5,0.5,0.5	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	0,0,0,0,0	178,178,178,178,178	0.1,0.1,0.1,0.1,0.1
ENSMUSG00000064065	Ipcef1	54,54,54,54,54	0.1,0.1,0.1,0.1,0.1	4,4,4,4,4	0,0,0,0,0	2,2,2,2,2	0.2,0.2,0.2,0.2,0.2	24,24,24,24,24	0,0,0,0,0	18,18,18,18,18
ENSMUSG00000064068	Mtx1	20,20,20,20,20	6,6,6,6,6	27,27,27,27,27	13,13,13,13,13	11,11,11,11,11	22,22,22,22,22	22,22,22,22,22	86,86,86,86,86	40,40,40,40,40
ENSMUSG00000064080	Fbln2	6,6,6,6,6	67,67,67,67,67	1,1,1,1,1	1,1,1,1,1	23,23,23,23,23	61,61,61,61,61	9,9,9,9,9	1,1,1,1,1	33,33,33,33,33
ENSMUSG00000064081	Gm8973	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064084	Olfr1202	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000064090	Vrk2	0.7,0.7,0.7,0.7,0.7	1,1,1,1,1	3,3,3,3,3	1,1,1,1,1	3,3,3,3,3	3,3,3,3,3	12,12,12,12,12	7,7,7,7,7	9,9,9,9,9
ENSMUSG00000064105	Cnnm2	38,38,38,38,38	5,5,5,5,5	15,15,15,15,15	4,4,4,4,4	10,10,10,10,10	5,5,5,5,5	6,6,6,6,6	3,3,3,3,3	5,5,5,5,5
ENSMUSG00000064109	Hcst	0.4,0.4,0.4,0.4,0.4	0.2,0.2,0.2,0.2,0.2	1,1,1,1,1	1,1,1,1,1	9,9,9,9,9	5,5,5,5,5	111,111,111,111,111	0.2,0.2,0.2,0.2,0.2	79,79,79,79,79
